INFO -   Found event LogValue in TX 0xc31ed4d97872d8b1de47e7928a787ef977310266e5fc5688c720306d2258c132 at block 22380866, sent from: 0x8874964279302e6d4e523Fb1789981C39a1034Ba
INFO -   Found event LogValue in TX 0xc31ed4d97872d8b1de47e7928a787ef977310266e5fc5688c720306d2258c132 at block 22380866, sent from: 0xFe7a2aC0B945f12089aEEB6eCebf4F384D9f043F
INFO -   Found event LogValue in TX 0xc31ed4d97872d8b1de47e7928a787ef977310266e5fc5688c720306d2258c132 at block 22380866, sent from: 0xeE7F0b350aA119b3d05DC733a4621a81972f7D47
INFO -   Found event LogValue in TX 0xc31ed4d97872d8b1de47e7928a787ef977310266e5fc5688c720306d2258c132 at block 22380866, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0xa86ef7531750ef48de0ec95a2efbe616b8c97349c3ad66cda759ad5ad2ac2ca0 at block 22404315, sent from: 0xd800ca44fFABecd159c7889c3bf64a217361AEc8
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0x81FE72B5A8d1A857d176C3E7d5Bd2679A9B85763
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0xB4eb54AF9Cc7882DF0121d26c5b97E802915ABe6
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0xf185d0682d50819263941e5f4EacC763CC5C6C42
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0x7382c066801E7Acb2299aC8562847B9883f5CD3c
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0xf36B79BD4C0904A5F350F1e4f776B81208c13069
INFO -   Found event LogValue in TX 0xb489e001bf864b055075bc5a7a4048fb6f97a89a6887873292ddf4d3da3a2657 at block 22414882, sent from: 0x8067259EA630601f319FccE477977E55C6078C13
